Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
43,2:19:38,Worknesh DEGEFA,1990-10-28,ETH,1,Dubai (UAE),2020-01-24,29,30,2020,8378.0
44,2:19:39,Yingjie SUN,1979-01-19,CHN,1,Beijing (CHN),2003-10-19,24,41,2003,8379.0
45,2:19:41,Yoko SHIBUI,1979-03-14,JPN,1,Berlin (GER),2004-09-26,25,41,2004,8381.0
46,2:19:41,Tirfi TSEGAYE,1984-11-25,ETH,1,Dubai (UAE),2016-01-22,31,36,2016,8381.0
47,2:19:44,Florence KIPLAGAT,1987-02-27,KEN,1,Berlin (GER),2011-09-25,24,33,2011,8384.0
48,2:19:46,Naoko TAKAHASHI,1972-05-06,JPN,1,Berlin (GER),2001-09-30,29,48,2001,8386.0
49,2:19:46,Lonah Chemtai SALPETER,1988-12-12,ISR,1,Praha (CZE),2019-05-05,30,32,2019,8386.0
50,2:19:47,Sarah CHEPCHIRCHIR,1984-07-27,KEN,1,Tokyo (JPN),2017-02-26,32,36,2017,8387.0
51,2:19:50,Edna Ngeringwony KIPLAGAT,1979-11-15,KEN,2,London (GBR),2012-04-22,32,41,2012,8390.0
52,2:19:51,Chunxiu ZHOU,1978-11-15,CHN,1,Seoul (KOR),2006-03-12,27,42,2006,8391.0
53,2:19:51,Birhane DIBABA,1993-09-11,ETH,1,Tokyo (JPN),2018-02-25,24,27,2018,8391.0
54,2:19:52,Mare DIBABA,1989-10-20,ETH,3,Dubai (UAE),2012-01-27,22,31,2012,8392.0
55,2:19:52,Mare DIBABA,1989-10-20,ETH,1,Xiamen (CHN),2015-01-03,25,31,2015,8392.0
56,2:19:52,Tigist GIRMA,1993-01-01,ETH,2,Amsterdam (NED),2019-10-20,26,27,2019,8392.0
57,2:19:52,Helalia JOHANNES,1980-08-13,NAM,3,Valencia (ESP),2020-12-06,40,40,2020,8392.0
58,2:19:53,Worknesh DEGEFA,1990-10-28,ETH,4,Dubai (UAE),2018-01-26,27,30,2018,8393.0
59,2:19:54,Zeineba YIMER,1998-06-17,ETH,4,Valencia (ESP),2020-12-06,22,22,2020,8394.0
60,2:19:55,Catherine NDEREBA,1972-07-21,KEN,2,London (GBR),2003-04-13,30,48,2003,8395.0
61,2:19:56,Degitu AZIMERAW,1999-01-24,ETH,5,Valencia (ESP),2020-12-06,21,21,2020,8396.0
62,2:19:56,Tigist GIRMA,1993-01-01,ETH,6,Valencia (ESP),2020-12-06,27,27,2020,8396.0
63,2:19:57,Rita Jeptoo SITIENEI,1981-02-15,KEN,1,"Chicago, IL (USA)",2013-10-13,32,39,2013,8397.0
64,2:20:02,Asselefech MEDESSA MERGIA,1985-01-23,ETH,1,Dubai (UAE),2015-01-23,30,35,2015,8402.0
65,2:20:03,Gladys CHERONO,1983-05-12,KEN,2,Dubai (UAE),2015-01-23,31,37,2015,8403.0
66,2:20:05,Ruti AGA,1994-01-16,ETH,7,Valencia (ESP),2020-12-06,26,26,2020,8405.0
67,2:20:11,Gutemi Shone IMANA,1991-11-17,ETH,2,Dubai (UAE),2020-01-24,28,29,2020,8411.0
68,2:20:13,Haftamnesh TESFAYE,1994-04-28,ETH,5,Dubai (UAE),2018-01-26,23,26,2018,8413.0
69,2:20:13,Brigid KOSGEI,1994-02-20,KEN,2,London (GBR),2018-04-22,24,26,2018,8413.0
70,2:20:14,Prisca JEPTOO,1984-06-24,KEN,3,London (GBR),2012-04-22,27,36,2012,8414.0
71,2:20:14,Vivian Jepkemoi CHERUIYOT,1983-09-11,KEN,2,London (GBR),2019-04-28,35,37,2019,8414.0
72,2:20:14,Ashete BEKERE,1988-04-17,ETH,1,Berlin (GER),2019-09-29,31,32,2019,8414.0
73,2:20:15,Prisca JEPTOO,1984-06-24,KEN,1,London (GBR),2013-04-21,28,36,2013,8415.0
74,2:20:18,Tirfi TSEGAYE,1984-11-25,ETH,1,Berlin (GER),2014-09-28,29,36,2014,8418.0
75,2:20:21,Edna Ngeringwony KIPLAGAT,1979-11-15,KEN,1,London (GBR),2014-04-13,34,41,2014,8421.0
76,2:20:21,Lucy Kabuu WANGUI,1984-03-24,KEN,3,Dubai (UAE),2015-01-23,30,36,2015,8421.0
77,2:20:21,Mare DIBABA,1989-10-20,ETH,2,Berlin (GER),2019-09-29,29,31,2019,8421.0
78,2:20:22,Brigid KOSGEI,1994-02-20,KEN,2,"Chicago, IL (USA)",2017-10-08,23,26,2017,8422.0
79,2:20:23,Gladys CHERONO,1983-05-12,KEN,1,Berlin (GER),2017-09-24,34,37,2017,8423.0
80,2:20:24,Florence KIPLAGAT,1987-02-27,KEN,2,London (GBR),2014-04-13,27,33,2014,8424.0
81,2:20:24,Workenesh EDESA,1992-09-11,ETH,6,Valencia (ESP),2019-12-01,27,28,2019,8424.0
82,2:20:27,Boru Feyse TADESE,1988-11-19,ETH,2,Berlin (GER),2014-09-28,25,32,2014,8427.0
83,2:20:29,Mao ICHIYAMA,1997-05-29,JPN,1,Nagoya (JPN),2020-03-08,22,23,2020,8429.0
84,2:20:30,Bezunesh BEKELE,1983-01-29,ETH,4,Dubai (UAE),2012-01-27,28,37,2012,8430.0
85,2:20:30,Aberu KEBEDE,1986-09-12,ETH,1,Berlin (GER),2012-09-30,26,34,2012,8430.0
86,2:20:30,Sutume Asefa KEBEDE,1994-12-11,ETH,3,Tokyo (JPN),2020-03-01,25,26,2020,8430.0
87,2:20:33,Aberu KEBEDE,1986-09-12,ETH,5,Dubai (UAE),2012-01-27,25,34,2012,8433.0
88,2:20:35,Tirunesh DIBABA,1985-10-01,ETH,3,London (GBR),2014-04-13,28,35,2014,8435.0
89,2:20:36,Meskerem ASSEFA,1991-10-03,ETH,1,Frankfurt (GER),2018-10-28,27,29,2018,8436.0
90,2:20:36,Yebrgual MELESE,1990-04-18,ETH,1,Shanghai (CHN),2018-11-18,28,30,2018,8436.0
91,2:20:38,Chunxiu ZHOU,1978-11-15,CHN,1,London (GBR),2007-04-22,28,42,2007,8438.0
92,2:20:39,Purity Cherotich RIONORIPO,1993-06-10,KEN,7,Valencia (ESP),2019-12-01,26,27,2019,8439.0
93,2:20:40,Ruti AGA,1994-01-16,ETH,1,Tokyo (JPN),2019-03-03,25,26,2019,8440.0
94,2:20:41,Ruti AGA,1994-01-16,ETH,2,Berlin (GER),2017-09-24,23,26,2017,8441.0
95,2:20:42,Berhane ADERE,1973-11-23,ETH,1,"Chicago, IL (USA)",2006-10-22,32,47,2006,8442.0
96,2:20:43,Tegla LOROUPE,1973-05-09,KEN,1,Berlin (GER),1999-09-26,26,47,1999,8443.0
97,2:20:45,Aberu KEBEDE,1986-09-12,ETH,1,Berlin (GER),2016-09-25,30,34,2016,8445.0
98,2:20:45,Gelete BURKA,1986-01-23,ETH,6,Dubai (UAE),2018-01-26,32,34,2018,8445.0
99,2:20:46,Edna Ngeringwony KIPLAGAT,1979-11-15,KEN,2,London (GBR),2011-04-17,31,41,2011,8446.0
100,2:20:47,Tegla LOROUPE,1973-05-09,KEN,1,Rotterdam (NED),1998-04-19,24,47,1998,8447.0
101,2:20:47,Galina BOGOMOLOVA,1977-10-15,RUS,2,"Chicago, IL (USA)",2006-10-22,29,43,2006,8447.0
102,2:20:47,Haftamnesh TESFAYE,1994-04-28,ETH,2,Frankfurt (GER),2018-10-28,24,26,2018,8447.0
103,2:20:48,Jemima Jelagat SUMGONG,1984-12-21,KEN,2,"Chicago, IL (USA)",2013-10-13,28,35,2013,8448.0
104,2:20:48,Aberu KEBEDE,1986-09-12,ETH,2,Berlin (GER),2015-09-27,29,34,2015,8448.0
105,2:20:48,Amane Beriso SHANKULE,1991-10-13,ETH,2,Dubai (UAE),2016-01-22,24,29,2016,8448.0
106,2:20:48,Azmera GEBRU,1995-10-21,ETH,3,Amsterdam (NED),2019-10-20,23,25,2019,8448.0
107,2:20:51,Roza DEREJE,1997-05-09,ETH,3,London (GBR),2019-04-28,21,23,2019,8451.0
108,2:20:51,Ababel YESHANEH,1991-07-22,ETH,2,"Chicago, IL (USA)",2019-10-13,28,29,2019,8451.0
109,2:20:52,Gladys CHERONO,1983-05-12,KEN,4,London (GBR),2019-04-28,35,37,2019,8452.0
110,2:20:53,Valary JEMELI,1991-06-08,KEN,3,Berlin (GER),2017-09-24,26,29,2017,8453.0
111,2:20:55,Purity Cherotich RIONORIPO,1993-06-10,KEN,1,Paris (FRA),2017-04-09,23,27,2017,8455.0
112,2:20:55,Gelete BURKA,1986-01-23,ETH,3,"Chicago, IL (USA)",2019-10-13,33,34,2019,8455.0
113,2:20:57,Paula RADCLIFFE,1973-12-17,GBR,1,"Olympic Stadium, Helsinki (FIN)",2005-08-14,31,46,2005,8457.0
114,2:20:57,Florence KIPLAGAT,1987-02-27,KEN,4,London (GBR),2012-04-22,25,33,2012,8457.0
115,2:20:57,Jordan HASAY,1991-09-21,USA,3,"Chicago, IL (USA)",2017-10-08,26,29,2017,8457.0
116,2:20:57,Joan Chelimo MELLY,1990-11-10,KEN,8,Valencia (ESP),2020-12-06,30,30,2020,8457.0
117,2:20:58,Mary Jepkosgei KEITANY,1982-01-18,KEN,5,London (GBR),2019-04-28,37,38,2019,8458.0
118,2:20:59,Shure DEMISE,1996-01-21,ETH,4,Dubai (UAE),2015-01-23,19,24,2015,8459.0
119,2:20:59,Agnes Jeruto KIPROTICH,1982-02-05,KEN,2,Paris (FRA),2017-04-09,35,38,2017,8459.0
120,2:21:01,Yingjie SUN,1979-01-19,CHN,1,Beijing (CHN),2005-10-16,26,41,2005,8461.0
121,2:21:01,Meselech MELKAMU,1985-04-19,ETH,1,Frankfurt (GER),2012-10-28,27,35,2012,8461.0
122,2:21:01,Helen BEKELE,1994-11-21,ETH,2,Tokyo (JPN),2019-03-03,24,26,2019,8461.0
123,2:21:03,Besu SADO,1996-01-12,ETH,4,Amsterdam (NED),2019-10-20,23,24,2019,8463.0
124,2:21:05,Workenesh EDESA,1992-09-11,ETH,3,Dubai (UAE),2019-01-25,26,28,2019,8465.0
125,2:21:05,Shure DEMISE,1996-01-21,ETH,3,Tokyo (JPN),2019-03-03,23,24,2019,8465.0
126,2:21:06,Ingrid KRISTIANSEN,1956-03-21,NOR,1,London (GBR),1985-04-21,29,64,1985,8466.0
127,2:21:06,Boru Feyse TADESE,1988-11-19,ETH,1,Paris (FRA),2013-04-07,24,32,2013,8466.0
128,2:21:06,Selly Chepyego KAPTICH,1985-10-03,KEN,3,Berlin (GER),2019-09-29,33,35,2019,8466.0
129,2:21:09,Meseret Hailu DEBELE,1990-09-12,ETH,1,Amsterdam (NED),2012-10-21,22,30,2012,8469.0
130,2:21:10,Alemu MEGERTU,1997-01-01,ETH,2,Frankfurt (GER),2019-10-27,22,23,2019,8470.0
131,2:21:11,Chunxiu ZHOU,1978-11-15,CHN,2,Beijing (CHN),2005-10-16,26,42,2005,8471.0
132,2:21:11,Vivian KIPLAGAT,1991-11-09,KEN,1,Abu Dhabi (UAE),2019-12-06,28,29,2019,8471.0
133,2:21:13,Florence KIPLAGAT,1987-02-27,KEN,1,Berlin (GER),2013-09-29,26,33,2013,8473.0
134,2:21:14,Shalane FLANAGAN,1981-07-08,USA,3,Berlin (GER),2014-09-28,33,39,2014,8474.0
135,2:21:14,Ashete BEKERE,1988-04-17,ETH,1,Valencia (ESP),2018-12-02,30,32,2018,8474.0
136,2:21:16,Deena KASTOR,1973-02-14,USA,3,London (GBR),2003-04-13,30,47,2003,8476.0
137,2:21:17,Aberu KEBEDE,1986-09-12,ETH,5,Dubai (UAE),2015-01-23,28,34,2015,8477.0
138,2:21:17,Eunice Jepkirui KIRWA,1984-05-20,BRN,1,Nagoya (JPN),2017-03-12,32,36,2017,8477.0
139,2:21:18,Mizuki NOGUCHI,1978-07-03,JPN,1,Osaka (JPN),2003-01-26,24,42,2003,8478.0
140,2:21:18,Edna Ngeringwony KIPLAGAT,1979-11-15,KEN,4,Berlin (GER),2018-09-16,38,41,2018,8478.0
141,2:21:18,Roza DEREJE,1997-05-09,ETH,2,"Chicago, IL (USA)",2018-10-07,21,23,2018,8478.0
142,2:21:19,Tirfi TSEGAYE,1984-11-25,ETH,2,Berlin (GER),2012-09-30,27,36,2012,8479.0
143,2:21:19,Birhane DIBABA,1993-09-11,ETH,2,Tokyo (JPN),2017-02-26,23,27,2017,8479.0
144,2:21:19,Ruti AGA,1994-01-16,ETH,2,Tokyo (JPN),2018-02-25,24,26,2018,8479.0
145,2:21:21,Joan BENOIT-SAMUELSON,1957-05-16,USA,1,"Chicago, IL (USA)",1985-10-20,28,63,1985,8481.0
146,2:21:21,Yingjie SUN,1979-01-19,CHN,1,Beijing (CHN),2002-10-13,23,41,2002,8481.0
147,2:21:22,Yoko SHIBUI,1979-03-14,JPN,3,"Chicago, IL (USA)",2002-10-13,23,41,2002,8482.0
148,2:21:22,Philomena CHEYECH,1982-07-05,KEN,3,Paris (FRA),2017-04-09,34,38,2017,8482.0
149,2:21:22,Mimi BELETE,1988-06-09,BRN,5,Amsterdam (NED),2019-10-20,31,32,2019,8482.0
150,2:21:25,Deena KASTOR,1973-02-14,USA,1,"Chicago, IL (USA)",2005-10-09,32,47,2005,8485.0
151,2:21:26,Bornes CHEPKIRUI,1986-11-23,KEN,1,Ljubljana (SLO),2019-10-27,32,34,2019,8486.0
152,2:21:27,Helah Jelagat KIPROP,1985-04-07,KEN,1,Tokyo (JPN),2016-02-28,30,35,2016,8487.0
153,2:21:29,Lyudmila PETROVA,1968-10-07,RUS,2,London (GBR),2006-04-23,37,52,2006,8489.0
154,2:21:30,Constantina DITA-TOMESCU,1970-01-23,ROU,2,"Chicago, IL (USA)",2005-10-09,35,50,2005,8490.0
155,2:21:30,Lydia CHEROMEI,1977-05-11,KEN,6,Dubai (UAE),2012-01-27,34,43,2012,8490.0
156,2:21:31,Svetlana ZAKHAROVA,1970-09-15,RUS,4,"Chicago, IL (USA)",2002-10-13,32,50,2002,8491.0
157,2:21:31,Askale Magarsa TAFA,1984-09-27,ETH,2,Berlin (GER),2008-09-28,24,36,2008,8491.0
158,2:21:32,Edna Ngeringwony KIPLAGAT,1979-11-15,KEN,2,London (GBR),2013-04-21,33,41,2013,8492.0
159,2:21:32,Florence KIPLAGAT,1987-02-27,KEN,1,"Chicago, IL (USA)",2016-10-09,29,33,2016,8492.0
160,2:21:32,Bedatu HIRPA,1999-04-28,ETH,3,Frankfurt (GER),2018-10-28,19,21,2018,8492.0
161,2:21:33,Catherine NDEREBA,1972-07-21,KEN,1,"Chicago, IL (USA)",2000-10-22,28,48,2000,8493.0
162,2:21:33,Shitaye ESHETE,1990-05-21,BRN,2,Ljubljana (SLO),2019-10-27,29,30,2019,8493.0
163,2:21:34,Gete WAMI,1974-12-11,ETH,1,Berlin (GER),2006-09-24,31,46,2006,8494.0
164,2:21:36,Mare DIBABA,1989-10-20,ETH,1,Xiamen (CHN),2014-01-02,24,31,2014,8496.0
165,2:21:36,Yuka ANDO,1994-03-16,JPN,2,Nagoya (JPN),2017-03-12,22,26,2017,8496.0
166,2:21:36,Helen BEKELE,1994-11-21,ETH,4,Berlin (GER),2019-09-29,24,26,2019,8496.0
167,2:21:37,Mizuki NOGUCHI,1978-07-03,JPN,1,Tokyo (JPN),2007-11-18,29,42,2007,8497.0
168,2:21:37,Visiline JEPKESHO,1989-12-30,KEN,4,Paris (FRA),2017-04-09,27,30,2017,8497.0
169,2:21:38,Valary JEMELI,1991-06-08,KEN,1,Beijing (CHN),2018-09-16,27,29,2018,8498.0
170,2:21:39,Georgina RONO,1980-05-19,KEN,2,Frankfurt (GER),2012-10-28,32,40,2012,8499.0
171,2:21:40,Tirfi TSEGAYE,1984-11-25,ETH,1,Paris (FRA),2012-04-15,27,36,2012,8500.0
172,2:21:40,Tadelech BEKELE ALEMU,1991-04-11,ETH,3,London (GBR),2018-04-22,27,29,2018,8500.0
173,2:21:41,Eunice Jepkirui KIRWA,1984-05-20,KEN,2,Amsterdam (NED),2012-10-21,28,36,2012,8501.0
174,2:21:42,Boru Feyse TADESE,1988-11-19,ETH,4,London (GBR),2014-04-13,25,32,2014,8502.0
175,2:21:42,Amy CRAGG,1984-01-21,USA,3,Tokyo (JPN),2018-02-25,34,36,2018,8502.0
176,2:21:42,Selly Chepyego KAPTICH,1985-10-03,KEN,4,Tokyo (JPN),2020-03-01,34,35,2020,8502.0
177,2:21:45,Masako CHIBA,1976-07-18,JPN,2,Osaka (JPN),2003-01-26,26,44,2003,8505.0
178,2:21:45,Gete WAMI,1974-12-11,ETH,2,London (GBR),2007-04-22,32,46,2007,8505.0
179,2:21:45,Dera DIDA,1996-10-26,ETH,7,Dubai (UAE),2018-01-26,21,24,2018,8505.0
180,2:21:45,Meskerem ASSEFA,1991-10-03,ETH,1,Nagoya (JPN),2018-03-11,26,29,2018,8505.0
181,2:21:46,Susan CHEPKEMEI,1975-06-25,KEN,3,London (GBR),2006-04-23,30,45,2006,8506.0
182,2:21:47,Naoko TAKAHASHI,1972-05-06,JPN,1,Bangkok (THA),1998-12-06,26,48,1998,8507.0
183,2:21:47,Mizuki MATSUDA,1995-05-31,JPN,1,Osaka (JPN),2020-01-26,24,25,2020,8507.0
184,2:21:49,Naoko TAKAHASHI,1972-05-06,JPN,1,Berlin (GER),2002-09-29,30,48,2002,8509.0
185,2:21:50,Florence KIPLAGAT,1987-02-27,KEN,4,Tokyo (JPN),2019-03-03,32,33,2019,8510.0
186,2:21:51,Naoko SAKAMOTO,1980-11-14,JPN,3,Osaka (JPN),2003-01-26,22,40,2003,8511.0
187,2:21:51,Amane GOBENA,1986-09-11,ETH,2,Tokyo (JPN),2016-02-28,29,34,2016,8511.0
188,2:21:51,Azmera ABREHA,1998-01-31,ETH,2,Shanghai (CHN),2018-11-18,20,22,2018,8511.0
189,2:21:52,Berhane ADERE,1973-11-23,ETH,4,London (GBR),2006-04-23,32,47,2006,8512.0
190,2:21:52,Tigist TUFA,1987-01-26,ETH,1,Shanghai (CHN),2014-11-02,27,33,2014,8512.0
191,2:21:53,Belaynesh OLJIRA,1990-06-26,ETH,4,Frankfurt (GER),2018-10-28,28,30,2018,8513.0
192,2:21:54,Meselech MELKAMU,1985-04-19,ETH,1,Hamburg (GER),2016-04-17,30,35,2016,8514.0
193,2:21:54,Tadelech BEKELE ALEMU,1991-04-11,ETH,1,Amsterdam (NED),2017-10-15,26,29,2017,8514.0
194,2:21:55,Bedatu HIRPA,1999-04-28,ETH,3,Dubai (UAE),2020-01-24,20,21,2020,8515.0
195,2:21:56,Mulu SEBOKA,1984-09-25,ETH,6,Dubai (UAE),2015-01-23,30,36,2015,8516.0
196,2:21:56,Tigist GIRMA,1993-01-01,ETH,5,Tokyo (JPN),2020-03-01,27,27,2020,8516.0
197,2:21:57,Valary JEMELI,1991-06-08,KEN,1,Praha (CZE),2017-05-07,25,29,2017,8517.0
198,2:21:58,Galina BOGOMOLOVA,1977-10-15,RUS,5,London (GBR),2006-04-23,28,43,2006,8518.0
199,2:21:59,Mamitu DASKA,1983-10-16,ETH,1,Frankfurt (GER),2011-10-30,28,37,2011,8519.0
200,2:22:01,Catherine NDEREBA,1972-07-21,KEN,2,"Olympic Stadium, Helsinki (FIN)",2005-08-14,33,48,2005,8521.0
201,2:22:01,Sara HALL,1983-04-15,USA,2,London (GBR),2020-10-04,37,37,2020,8521.0
202,2:22:03,Atsede BAYISA,1987-04-16,ETH,1,"Chicago, IL (USA)",2012-10-07,25,33,2012,8523.0
203,2:22:04,Atsede BAYISA,1987-04-16,ETH,1,Paris (FRA),2010-04-11,22,33,2010,8524.0
204,2:22:04,Rita Jeptoo SITIENEI,1981-02-15,KEN,2,"Chicago, IL (USA)",2012-10-07,31,39,2012,8524.0
205,2:22:05,Ruth CHEPNGETICH,1994-08-08,KEN,3,London (GBR),2020-10-04,26,26,2020,8525.0
206,2:22:06,Diana Chemtai KIPYOGEI,1994-05-05,KEN,1,Istanbul (TUR),2020-11-08,26,26,2020,8526.0
207,2:22:07,Tegla LOROUPE,1973-05-09,KEN,1,Rotterdam (NED),1997-04-20,23,47,1997,8527.0
208,2:22:07,Shure DEMISE,1996-01-21,ETH,4,Tokyo (JPN),2018-02-25,22,24,2018,8527.0
209,2:22:07,Diana Chemtai KIPYOGEI,1994-05-05,KEN,3,Ljubljana (SLO),2019-10-27,25,26,2019,8527.0
210,2:22:08,Tiki GELANA,1987-10-22,ETH,1,Amsterdam (NED),2011-10-16,23,33,2011,8528.0
211,2:22:08,Eunice Jepkirui KIRWA,1984-05-20,BRN,1,Nagoya (JPN),2015-03-08,30,36,2015,8528.0
212,2:22:09,Ejegayehu DIBABA,1982-03-21,ETH,1,"Chicago, IL (USA)",2011-10-09,29,38,2011,8529.0
213,2:22:11,Irina MIKITENKO,1972-08-23,GER,1,London (GBR),2009-04-26,36,48,2009,8531.0
214,2:22:11,Lydia CHEROMEI,1977-05-11,KEN,2,Valencia (ESP),2018-12-02,41,43,2018,8531.0
215,2:22:11,Meskerem ASSEFA,1991-10-03,ETH,3,Frankfurt (GER),2019-10-27,28,29,2019,8531.0
216,2:22:12,Eri YAMAGUCHI,1973-01-14,JPN,1,Tokyo (JPN),1999-11-21,26,47,1999,8532.0
217,2:22:12,Nancy Jepkosgei KIPROP,1979-07-07,KEN,1,Wien (AUT),2019-04-07,39,41,2019,8532.0
218,2:22:15,Amane Beriso SHANKULE,1991-10-13,ETH,2,Praha (CZE),2017-05-07,25,29,2017,8535.0
219,2:22:15,Shure DEMISE,1996-01-21,ETH,3,"Chicago, IL (USA)",2018-10-07,22,24,2018,8535.0
220,2:22:16,Sara HALL,1983-04-15,USA,5,Berlin (GER),2019-09-29,36,37,2019,8536.0
221,2:22:16,Magdalyne MASAI,1993-11-21,KEN,1,Toronto (CAN),2019-10-20,25,27,2019,8536.0
222,2:22:17,Kayoko FUKUSHI,1982-03-25,JPN,1,Osaka (JPN),2016-01-31,33,38,2016,8537.0
223,2:22:17,Gelete BURKA,1986-01-23,ETH,1,Ottawa (CAN),2018-05-27,32,34,2018,8537.0
224,2:22:18,Irina MIKITENKO,1972-08-23,GER,2,Berlin (GER),2011-09-25,39,48,2011,8538.0
225,2:22:19,Naoko TAKAHASHI,1972-05-06,JPN,1,Nagoya (JPN),2000-03-12,27,48,2000,8539.0
226,2:22:19,Gete WAMI,1974-12-11,ETH,1,Amsterdam (NED),2002-10-20,27,46,2002,8539.0
