Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age
119,2:05:12,Felix CHEMONGES,1995-10-10,UGA,3,Toronto (CAN),2019-10-20,24,25
120,2:05:13,Vincent KIPRUTO,1987-09-13,KEN,3,Rotterdam (NED),2010-04-11,22,33
121,2:05:13,Markos GENETI,1984-06-07,ETH,2,Dubai (UAE),2014-01-24,29,36
122,2:05:13,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2016-03-20,27,32
123,2:05:13,Nobert KIGEN,1993-01-24,KEN,2,Amsterdam (NED),2017-10-15,24,27
124,2:05:13,Benson KIPRUTO,1991-03-17,KEN,4,Toronto (CAN),2019-10-20,28,29
125,2:05:15,Martin Kiptolo LEL,1978-10-29,KEN,1,London (GBR),2008-04-13,29,42
126,2:05:15,Sammy KITWARA,1986-11-26,KEN,1,Valencia (ESP),2017-11-19,30,34
127,2:05:15,Abebe Negewo DEGEFA,1984-05-20,ETH,8,Valencia (ESP),2020-12-06,36,36
128,2:05:16,Levi Omari MATEBO,1989-11-03,KEN,2,Frankfurt (GER),2011-10-30,21,31
129,2:05:16,Sammy KITWARA,1986-11-26,KEN,3,"Chicago, IL (USA)",2013-10-13,26,34
130,2:05:16,Sisay LEMMA,1990-12-12,ETH,4,Dubai (UAE),2016-01-22,25,29
131,2:05:16,Soloman DEKSISA,1994-03-11,ETH,2,Amsterdam (NED),2019-10-20,25,26
132,2:05:18,Tsegaye KEBEDE,1987-01-15,ETH,1,Fukuoka (JPN),2009-12-06,22,33
133,2:05:18,Shifera TAMRU,1998-10-01,ETH,5,Dubai (UAE),2019-01-25,20,22
134,2:05:18,Reuben Kiprop KIPYEGO,1996-08-21,KEN,2,Buenos Aires (ARG),2019-09-22,23,24
135,2:05:18,Elisha ROTICH,1990-04-12,KEN,3,Amsterdam (NED),2019-10-20,29,30
136,2:05:19,Tsegaye KEBEDE,1987-01-15,ETH,1,London (GBR),2010-04-25,23,33
137,2:05:20,Tsegaye KEBEDE,1987-01-15,ETH,2,London (GBR),2009-04-26,22,33
138,2:05:21,Eliud KIPTANUI,1989-06-06,KEN,2,Berlin (GER),2015-09-27,26,31
139,2:05:21,Daniel KINYUA,1992-05-25,KEN,1,Amsterdam (NED),2016-10-16,24,28
140,2:05:21,Emmanuel SAINA,1992-09-06,KEN,1,Buenos Aires (ARG),2018-09-23,26,28
141,2:05:21,Tsegaye KEBEDE,1987-01-15,ETH,4,Valencia (ESP),2018-12-02,31,33
142,2:05:22,Nobert KIGEN,1993-01-24,KEN,5,Valencia (ESP),2018-12-02,25,27
143,2:05:23,Feyisa LILESA,1990-02-01,ETH,4,Rotterdam (NED),2010-04-11,20,30
144,2:05:24,Samuel Kamau WANJIRU,1986-11-10,KEN,2,London (GBR),2008-04-13,21,34
145,2:05:24,Mosinet GEREMEW,1992-02-12,ETH,2,"Chicago, IL (USA)",2018-10-07,26,28
146,2:05:25,Bazu WORKU HAYLA,1990-09-15,ETH,3,Berlin (GER),2010-09-26,20,30
147,2:05:25,Albert Kiplagat MATEBOR,1980-12-25,KEN,3,Frankfurt (GER),2011-10-30,30,39
148,2:05:26,Abraham KIPTUM,1989-09-15,KEN,3,Amsterdam (NED),2017-10-15,28,31
149,2:05:26,El Mahjoub DAZZA,1991-03-03,MAR,6,Valencia (ESP),2018-12-02,27,29
150,2:05:27,Jaouad GHARIB,1972-05-22,MAR,3,London (GBR),2009-04-26,36,48
151,2:05:27,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Rotterdam (NED),2011-04-10,25,35
152,2:05:27,Tilahun REGASSA,1990-01-18,ETH,3,"Chicago, IL (USA)",2012-10-07,22,30
153,2:05:27,Kaan Kigen ÖZBILEN,1986-01-15,TUR,2,Rotterdam (NED),2019-04-07,33,34
154,2:05:28,Hayle LEMI,1994-09-13,ETH,1,Dubai (UAE),2015-01-23,20,26
155,2:05:28,Betesfa GETAHUN,1998-09-25,ETH,4,Amsterdam (NED),2019-10-20,21,22
156,2:05:29,Haile GEBRSELASSIE,1973-04-18,ETH,1f1,Dubai (UAE),2009-01-16,35,47
157,2:05:29,Shifera TAMRU,1998-10-01,ETH,1,Seoul (KOR),2019-11-03,21,22
158,2:05:29,Suguru OSAKO,1991-05-23,JPN,4,Tokyo (JPN),2020-03-01,28,29
159,2:05:29,Leul GEBRESILASE,1992-09-20,ETH,9,Valencia (ESP),2020-12-06,28,28
160,2:05:30,Abderrahim GOUMRI,1976-05-21,MAR,3,London (GBR),2008-04-13,31,44
161,2:05:30,Eliud KIPCHOGE,1984-11-05,KEN,1,Hamburg (GER),2013-04-21,28,36
162,2:05:30,Evans CHEBET,1988-11-10,KEN,2,Valencia (ESP),2017-11-19,29,32
163,2:05:30,Dickson CHUMBA,1986-10-27,KEN,1,Tokyo (JPN),2018-02-25,31,34
164,2:05:31,Evans CHEBET,1988-11-10,KEN,3,Berlin (GER),2016-09-25,27,32
165,2:05:33,Vincent KIPRUTO,1987-09-13,KEN,2,Rotterdam (NED),2011-04-10,23,33
166,2:05:33,Evans CHEBET,1988-11-10,KEN,2,Seoul (KOR),2016-03-20,27,32
167,2:05:33,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,1,Daegu (KOR),2019-04-07,30,32
168,2:05:36,James Kipsang KWAMBAI,1983-02-28,KEN,2,Berlin (GER),2008-09-28,25,37
169,2:05:36,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Amsterdam (NED),2013-10-20,28,35
170,2:05:37,Moses MOSOP,1985-07-07,KEN,1,"Chicago, IL (USA)",2011-10-09,26,35
171,2:05:37,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2012-03-18,23,32
172,2:05:37,Philemon RONO,1991-02-08,KEN,10,Valencia (ESP),2020-12-06,29,29
173,2:05:38,Khalid KHANNOUCHI,1971-12-22,USA,1,London (GBR),2002-04-14,30,48
174,2:05:38,Peter Kimeli SOME,1990-06-05,KEN,1,Paris (FRA),2013-04-07,22,30
175,2:05:38,Tilahun REGASSA,1990-01-18,ETH,1,Rotterdam (NED),2013-04-14,23,30
176,2:05:39,Eliud KIPTANUI,1989-06-06,KEN,1,Praha (CZE),2010-05-09,20,31
177,2:05:39,Mule WASIHUN,1993-10-20,ETH,4,Amsterdam (NED),2017-10-15,23,27
178,2:05:39,Mo FARAH,1983-03-23,GBR,5,London (GBR),2019-04-28,36,37
179,2:05:41,Samuel Kamau WANJIRU,1986-11-10,KEN,1,"Chicago, IL (USA)",2009-10-11,22,34
180,2:05:41,Dadi Yami GEMEDA,1982-01-01,ETH,6,Dubai (UAE),2012-01-27,30,38
181,2:05:41,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Amsterdam (NED),2012-10-21,27,35
182,2:05:41,Getu FELEKE,1986-11-28,ETH,1,Wien (AUT),2014-04-13,27,34
183,2:05:41,Shura KITATA,1996-06-09,ETH,1,London (GBR),2020-10-04,24,24
184,2:05:42,Khalid KHANNOUCHI,1971-12-22,MAR,1,"Chicago, IL (USA)",1999-10-24,27,48
185,2:05:42,Shami Abdullah DAWIT,1984-07-16,ETH,7,Dubai (UAE),2012-01-27,27,36
186,2:05:42,Deressa CHIMSA,1976-11-21,ETH,8,Dubai (UAE),2012-01-27,35,44
187,2:05:42,Dickson CHUMBA,1986-10-27,KEN,1,Tokyo (JPN),2014-02-23,27,34
188,2:05:42,Emmanuel SAINA,1992-09-06,KEN,3,Rotterdam (NED),2019-04-07,26,28
189,2:05:42,Vincent KIPCHUMBA,1990-08-03,KEN,2,London (GBR),2020-10-04,30,30
190,2:05:43,Amos KIPRUTO,1992-09-16,KEN,5,Amsterdam (NED),2017-10-15,25,28
191,2:05:44,Getu FELEKE,1986-11-28,ETH,1,Amsterdam (NED),2010-10-17,23,34
192,2:05:44,Mule WASIHUN,1993-10-20,ETH,5,Dubai (UAE),2016-01-22,22,27
193,2:05:44,Kenneth Kiprop KIPKEMOI,1984-08-02,KEN,1,Rotterdam (NED),2018-04-08,33,36
194,2:05:45,Martin Kiptolo LEL,1978-10-29,KEN,2,London (GBR),2011-04-17,32,42
195,2:05:45,Patrick Makau MUSYOKI,1985-03-02,KEN,3,London (GBR),2011-04-17,26,35
196,2:05:45,Sammy KITWARA,1986-11-26,KEN,2,Amsterdam (NED),2016-10-16,29,34
197,2:05:45,Lawrence CHERONO,1988-08-07,KEN,1,"Chicago, IL (USA)",2019-10-13,31,32
198,2:05:45,Sisay LEMMA,1990-12-12,ETH,3,London (GBR),2020-10-04,29,29
199,2:05:46,Dickson CHUMBA,1986-10-27,KEN,1,Eindhoven (NED),2012-10-14,25,34
200,2:05:46,Dejene DEBELA,1995-01-09,ETH,2,"Chicago, IL (USA)",2019-10-13,24,25
201,2:05:47,Vincent KIPRUTO,1987-09-13,KEN,1,Paris (FRA),2009-04-05,21,33
202,2:05:47,Marius KIMUTAI,1992-12-10,KEN,3,Amsterdam (NED),2016-10-16,23,28
203,2:05:48,Paul TERGAT,1969-06-17,KEN,2,London (GBR),2002-04-14,32,51
204,2:05:48,Jafred Chirchir KIPCHUMBA,1983-08-08,KEN,1,Eindhoven (NED),2011-10-09,28,37
205,2:05:48,Daniel KINYUA,1992-05-25,KEN,1,London (GBR),2017-04-23,24,28
206,2:05:48,Sondre Nordstad MOEN,1991-01-12,NOR,1,Fukuoka (JPN),2017-12-03,26,29
207,2:05:48,Asefa MENGSTU,1988-01-22,ETH,3,"Chicago, IL (USA)",2019-10-13,31,32
208,2:05:49,William KIPSANG,1977-06-26,KEN,1,Rotterdam (NED),2008-04-13,30,43
209,2:05:49,Girmay Birhanu GEBRU,1987-01-27,ETH,3,Dubai (UAE),2014-01-24,26,33
210,2:05:49,Mark KORIR,1985-01-10,KEN,1,Paris (FRA),2015-04-12,30,35
211,2:05:50,Evans RUTTO,1978-04-08,KEN,1,"Chicago, IL (USA)",2003-10-12,25,42
212,2:05:50,James Kipsang KWAMBAI,1983-02-28,KEN,1,Seoul (KOR),2012-11-04,29,37
213,2:05:50,Dennis KIMETTO,1984-04-22,KEN,3,London (GBR),2015-04-26,31,36
214,2:05:50,Shura KITATA,1996-06-09,ETH,1,Frankfurt (GER),2017-10-29,21,24
215,2:05:50,Abera KUMA,1990-08-31,ETH,2,Rotterdam (NED),2018-04-08,27,30
216,2:05:50,Suguru OSAKO,1991-05-23,JPN,3,"Chicago, IL (USA)",2018-10-07,27,29
217,2:05:51,Kenenisa BEKELE,1982-06-13,ETH,4,"Chicago, IL (USA)",2014-10-12,32,38
218,2:05:51,Gideon Kipkemoi KIPKETER,1992-11-10,KEN,2,Tokyo (JPN),2017-02-26,24,28
219,2:05:52,Lelisa DESISA,1990-01-14,ETH,2,Dubai (UAE),2015-01-23,25,30
220,2:05:52,Stephen CHEBOGUT,1985-01-09,KEN,1,Eindhoven (NED),2015-10-11,30,35
221,2:05:53,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Amsterdam (NED),2011-10-16,26,35
222,2:05:53,Bedan KAROKI,1990-08-21,KEN,4,"Chicago, IL (USA)",2019-10-13,29,30
223,2:05:53,Oqbe Kibrom RUESOM,1998-01-01,ERI,11,Valencia (ESP),2020-12-06,22,22
224,2:05:54,Sammy KITWARA,1986-11-26,KEN,4,"Chicago, IL (USA)",2012-10-07,25,34
225,2:05:54,Laban Kipngetich KORIR,1985-06-30,KEN,4,Amsterdam (NED),2016-10-16,31,35
226,2:05:54,Amos KIPRUTO,1992-09-16,KEN,1,Seoul (KOR),2017-03-19,24,28
227,2:05:56,Khalid KHANNOUCHI,1971-12-22,USA,1,"Chicago, IL (USA)",2002-10-13,30,48
228,2:05:56,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2006-09-24,33,47
229,2:05:56,Abera KUMA,1990-08-31,ETH,3,Berlin (GER),2014-09-28,24,30
230,2:05:56,Kelkile GEZAHEGN,1996-10-01,ETH,3,Rotterdam (NED),2018-04-08,21,24
231,2:05:57,Tadesse TOLA,1987-10-31,ETH,2,Tokyo (JPN),2014-02-23,26,33
232,2:05:57,Kenenisa BEKELE,1982-06-13,ETH,2,London (GBR),2017-04-23,34,38
233,2:05:57,Kenneth Kiprop KIPKEMOI,1984-08-02,KEN,4,"Chicago, IL (USA)",2018-10-07,34,36
234,2:05:58,Shami Abdullah DAWIT,1984-07-16,ETH,1,Hamburg (GER),2012-04-29,27,36
235,2:05:58,Deribe ROBI,1990-09-26,ETH,2,Eindhoven (NED),2015-10-11,25,30
236,2:05:58,Laban Kipngetich KORIR,1985-06-30,KEN,4,Rotterdam (NED),2018-04-08,32,35
237,2:05:58,El Mahjoub DAZZA,1991-03-03,MAR,1,Praha (CZE),2019-05-05,28,29
238,2:05:59,Lelisa DESISA,1990-01-14,ETH,1,"New York, NY (USA)",2018-11-04,28,30
239,2:06:00,Endeshaw NEGESSE,1988-03-13,ETH,1,Tokyo (JPN),2015-02-22,26,32
240,2:06:00,Mark Kosgei KIPTOO,1976-06-21,KEN,3,Eindhoven (NED),2015-10-11,39,44
241,2:06:00,Thomas KIPLAGAT,1987-03-01,KEN,1,Seoul (KOR),2019-03-17,32,33
242,2:06:00,Andualem Belay SHIFERAW,1992-04-05,ETH,1,Lisboa (POR),2019-10-20,27,28
243,2:06:01,Shura KITATA,1996-06-09,ETH,2,"New York, NY (USA)",2018-11-04,22,24
244,2:06:02,Samuel NDUNGU,1988-04-04,KEN,2,Lisboa (POR),2019-10-20,31,32
245,2:06:02,Alemu BEKELE,1990-03-23,BRN,2,Seoul (KOR),2019-11-03,29,30
246,2:06:03,James Kipsang KWAMBAI,1983-02-28,KEN,2,Seoul (KOR),2012-03-18,29,37
247,2:06:03,Felix Kipchirchir KANDIE,1987-04-10,KEN,2,Seoul (KOR),2017-03-19,29,33
248,2:06:04,Abderrahim GOUMRI,1976-05-21,MAR,2,"Chicago, IL (USA)",2009-10-11,33,44
249,2:06:04,Tsegaye KEBEDE,1987-01-15,ETH,1,London (GBR),2013-04-21,26,33
250,2:06:04,Marius KIMUTAI,1992-12-10,BRN,1,Rotterdam (NED),2017-04-09,24,28
251,2:06:04,Alemu BEKELE,1990-03-23,BRN,1,Barcelona (ESP),2019-03-10,28,30
252,2:06:04,Fentahun HUNEGNAW,1996-01-01,ETH,5,Amsterdam (NED),2019-10-20,23,24
253,2:06:04,Mosinet GEREMEW,1992-02-12,ETH,4,London (GBR),2020-10-04,28,28
254,2:06:05,Ronaldo DA COSTA,1970-06-07,BRA,1,Berlin (GER),1998-09-20,28,50
255,2:06:05,Laban Kipngetich KORIR,1985-06-30,KEN,2,Amsterdam (NED),2011-10-16,26,35
256,2:06:05,Mariko KIPCHUMBA KIPLAGAT,1974-07-04,KEN,1,Reims (FRA),2012-10-21,38,46
257,2:06:05,Mark KORIR,1985-01-10,KEN,3,Seoul (KOR),2017-03-19,32,35
258,2:06:05,Philemon KACHERAN,1992-07-04,KEN,5,Valencia (ESP),2019-12-01,27,28
259,2:06:06,Girmay Birhanu GEBRU,1987-01-27,ETH,2,Amsterdam (NED),2013-10-20,26,33
260,2:06:06,Deribe ROBI,1990-09-26,ETH,3,Dubai (UAE),2015-01-23,24,30
261,2:06:07,Eric NDIEMA,1992-12-28,KEN,3,Amsterdam (NED),2011-10-16,18,27
