Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,Temp,TimeSec
42,2:04:15,Birhanu LEGESE,1994-09-11,ETH,6,Dubai (UAE),2018-01-26,23,26,2018,21.3,7455.0
43,2:04:15,Birhanu LEGESE,1994-09-11,ETH,1,Tokyo (JPN),2020-03-01,25,26,2020,11.8,7455.0
44,2:04:16,Dennis KIMETTO,1984-04-22,KEN,2,Berlin (GER),2012-09-30,28,36,2012,11.5,7456.0
45,2:04:16,Kaan Kigen ÖZBILEN,1986-01-15,TUR,2,Valencia (ESP),2019-12-01,33,34,2019,15.9,7456.0
46,2:04:17,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2018-04-22,33,36,2018,18.1,7457.0
47,2:04:23,Ayele ABSHERO,1990-12-28,ETH,1,Dubai (UAE),2012-01-27,21,29,2012,17.7,7463.0
48,2:04:24,Tesfaye ABERA,1992-03-31,ETH,1,Dubai (UAE),2016-01-22,23,28,2016,20.6,7464.0
49,2:04:24,Asefa MENGSTU,1988-01-22,ETH,3,Dubai (UAE),2019-01-25,31,32,2019,21.9,7464.0
50,2:04:26,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2007-09-30,34,47,2007,13.7,7466.0
51,2:04:27,Duncan KIBET,1978-04-25,KEN,1,Rotterdam (NED),2009-04-05,30,42,2009,9.6,7467.0
52,2:04:27,James Kipsang KWAMBAI,1983-02-28,KEN,2,Rotterdam (NED),2009-04-05,26,37,2009,9.6,7467.0
53,2:04:28,Sammy KITWARA,1986-11-26,KEN,2,"Chicago, IL (USA)",2014-10-12,27,34,2014,12.9,7468.0
54,2:04:29,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,London (GBR),2014-04-13,32,38,2014,12.3,7469.0
55,2:04:31,Leul GEBRESILASE,1992-09-20,ETH,1,Valencia (ESP),2018-12-02,26,28,2018,13.5,7471.0
56,2:04:32,Tsegaye MEKONNEN,1995-06-15,ETH,1,Dubai (UAE),2014-01-24,18,25,2014,19.4,7472.0
57,2:04:32,Dickson CHUMBA,1986-10-27,KEN,3,"Chicago, IL (USA)",2014-10-12,27,34,2014,12.9,7472.0
58,2:04:33,Hayle LEMI,1994-09-13,ETH,2,Dubai (UAE),2016-01-22,21,26,2016,20.6,7473.0
59,2:04:37,Mule WASIHUN,1993-10-20,ETH,2,Amsterdam (NED),2018-10-21,25,27,2018,13.1,7477.0
60,2:04:38,Tsegaye KEBEDE,1987-01-15,ETH,1,"Chicago, IL (USA)",2012-10-07,25,33,2012,7.2,7478.0
61,2:04:40,Emmanuel MUTAI,1984-10-12,KEN,1,London (GBR),2011-04-17,26,36,2011,14.0,7480.0
62,2:04:40,Soloman DEKSISA,1994-03-11,ETH,3,Amsterdam (NED),2018-10-21,24,26,2018,13.1,7480.0
63,2:04:40,Reuben Kiprop KIPYEGO,1996-08-21,KEN,1,Abu Dhabi (UAE),2019-12-06,23,24,2019,23.3,7480.0
64,2:04:42,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2015-04-26,30,36,2015,9.8,7482.0
65,2:04:42,Guye Idemo ADOLA,1990-10-20,ETH,3,Valencia (ESP),2019-12-01,29,30,2019,15.9,7482.0
66,2:04:43,El Hassan EL ABBASSI,1984-04-13,BRN,2,Valencia (ESP),2018-12-02,34,36,2018,13.5,7483.0
67,2:04:44,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,London (GBR),2012-04-22,30,38,2012,9.0,7484.0
68,2:04:44,Seifu TURA,1997-06-19,ETH,7,Dubai (UAE),2018-01-26,20,23,2018,21.3,7484.0
69,2:04:45,Lelisa DESISA,1990-01-14,ETH,1,Dubai (UAE),2013-01-25,23,30,2013,19.9,7485.0
70,2:04:46,Tsegaye MEKONNEN,1995-06-15,ETH,3,Dubai (UAE),2016-01-22,20,25,2016,20.6,7486.0
71,2:04:46,Titus EKIRU,1992-01-02,KEN,1,Milano (ITA),2019-04-07,27,28,2019,11.1,7486.0
72,2:04:46,Mekuant Ayenew GEBRE,1991-01-01,ETH,1,Sevilla (ESP),2020-02-23,29,29,2020,16.2,7486.0
73,2:04:47,Wilson Kipsang KIPROTICH,1982-03-15,KEN,2,London (GBR),2015-04-26,33,38,2015,9.8,7487.0
74,2:04:48,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Rotterdam (NED),2010-04-11,25,35,2010,6.8,7488.0
75,2:04:48,Yemane TSEGAY,1985-04-08,ETH,1,Rotterdam (NED),2012-04-15,27,35,2012,6.8,7488.0
76,2:04:48,Berhanu SHIFERAW,1993-05-31,ETH,2,Dubai (UAE),2013-01-25,19,27,2013,19.9,7488.0
77,2:04:48,Birhanu LEGESE,1994-09-11,ETH,1,Tokyo (JPN),2019-03-03,24,26,2019,6.8,7488.0
78,2:04:49,Tadesse TOLA,1987-10-31,ETH,3,Dubai (UAE),2013-01-25,25,33,2013,19.9,7489.0
79,2:04:49,Shura KITATA,1996-06-09,ETH,2,London (GBR),2018-04-22,21,24,2018,18.1,7489.0
80,2:04:49,Bashir ABDI,1989-02-10,BEL,2,Tokyo (JPN),2020-03-01,31,31,2020,11.8,7489.0
81,2:04:50,Dino SEFIR,1988-05-28,ETH,2,Dubai (UAE),2012-01-27,23,32,2012,17.7,7490.0
82,2:04:50,Getu FELEKE,1986-11-28,ETH,2,Rotterdam (NED),2012-04-15,25,34,2012,6.8,7490.0
83,2:04:51,Abebe Negewo DEGEFA,1984-05-20,ETH,4,Valencia (ESP),2019-12-01,35,36,2019,15.9,7491.0
84,2:04:51,Sisay LEMMA,1990-12-12,ETH,3,Tokyo (JPN),2020-03-01,29,30,2020,11.8,7491.0
85,2:04:52,Feyisa LILESA,1990-02-01,ETH,2,"Chicago, IL (USA)",2012-10-07,22,30,2012,7.2,7492.0
86,2:04:52,Endeshaw NEGESSE,1988-03-13,ETH,4,Dubai (UAE),2013-01-25,24,32,2013,19.9,7492.0
87,2:04:53,Haile GEBRSELASSIE,1973-04-18,ETH,1,Dubai (UAE),2008-01-18,34,47,2008,15.5,7493.0
88,2:04:53,Bernard Kiprop KOECH,1988-01-31,KEN,5,Dubai (UAE),2013-01-25,24,32,2013,19.9,7493.0
89,2:04:53,Mathew Kipkoech KISORIO,1989-05-16,KEN,3,Valencia (ESP),2018-12-02,29,31,2018,13.5,7493.0
91,2:04:54,Markos GENETI,1984-06-07,ETH,3,Dubai (UAE),2012-01-27,27,36,2012,17.7,7494.0
92,2:04:55,Paul TERGAT,1969-06-17,KEN,1,Berlin (GER),2003-09-28,34,51,2003,11.3,7495.0
93,2:04:55,Geoffrey MUTAI,1981-10-07,KEN,2,Rotterdam (NED),2010-04-11,28,39,2010,6.8,7495.0
94,2:04:55,Stanley Kipleting BIWOTT,1986-04-21,KEN,2,London (GBR),2014-04-13,27,34,2014,12.3,7495.0
95,2:04:56,Sammy Kipchoge KORIR,1971-12-12,KEN,2,Berlin (GER),2003-09-28,31,49,2003,11.3,7496.0
96,2:04:56,Jonathan MAIYO,1988-05-05,KEN,4,Dubai (UAE),2012-01-27,23,32,2012,17.7,7496.0
97,2:04:57,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Frankfurt (GER),2010-10-31,28,38,2010,10.7,7497.0
98,2:04:58,Sisay LEMMA,1990-12-12,ETH,1,Ljubljana (SLO),2018-10-28,27,30,2018,15.0,7498.0
99,2:05:00,Eliud KIPCHOGE,1984-11-05,KEN,1,Rotterdam (NED),2014-04-13,29,36,2014,10.2,7500.0
100,2:05:00,Evans CHEBET,1988-11-10,KEN,1,Buenos Aires (ARG),2019-09-22,30,32,2019,13.6,7500.0
101,2:05:00,Philemon RONO,1991-02-08,KEN,1,Toronto (CAN),2019-10-20,28,29,2019,11.2,7500.0
102,2:05:01,Shura KITATA,1996-06-09,ETH,4,London (GBR),2019-04-28,22,24,2019,10.8,7501.0
103,2:05:02,Emmanuel SAINA,1992-09-06,KEN,4,Dubai (UAE),2019-01-25,26,28,2019,21.9,7502.0
104,2:05:03,Moses MOSOP,1985-07-07,KEN,3,Rotterdam (NED),2012-04-15,26,35,2012,6.8,7503.0
105,2:05:04,Abel KIRUI,1982-06-04,KEN,3,Rotterdam (NED),2009-04-05,26,38,2009,9.6,7504.0
106,2:05:04,Kenenisa BEKELE,1982-06-13,ETH,1,Paris (FRA),2014-04-06,31,38,2014,15.7,7504.0
107,2:05:05,Barnabas KIPTUM,1986-12-08,KEN,2,Sevilla (ESP),2020-02-23,33,34,2020,16.2,7505.0
108,2:05:05,Abel KIRUI,1982-06-04,KEN,7,Valencia (ESP),2020-12-06,38,38,2020,10.6,7505.0
109,2:05:06,Geoffrey MUTAI,1981-10-07,KEN,1,"New York, NY (USA)",2011-11-06,30,39,2011,8.0,7506.0
110,2:05:08,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Berlin (GER),2010-09-26,25,35,2010,11.2,7508.0
111,2:05:09,Lawrence CHERONO,1988-08-07,KEN,1,Amsterdam (NED),2017-10-15,29,32,2017,16.1,7509.0
112,2:05:09,Vincent KIPCHUMBA,1990-08-03,KEN,1,Amsterdam (NED),2019-10-20,29,30,2019,11.2,7509.0
113,2:05:09,Hayle LEMI,1994-09-13,ETH,2,Toronto (CAN),2019-10-20,25,26,2019,11.2,7509.0
114,2:05:10,Samuel Kamau WANJIRU,1986-11-10,KEN,1,London (GBR),2009-04-26,22,34,2009,13.8,7510.0
115,2:05:10,Geoffrey MUTAI,1981-10-07,KEN,2,Berlin (GER),2010-09-26,28,39,2010,11.2,7510.0
116,2:05:10,Tadesse TOLA,1987-10-31,ETH,5,Dubai (UAE),2012-01-27,24,33,2012,17.7,7510.0
117,2:05:11,Mo FARAH,1983-03-23,GBR,1,"Chicago, IL (USA)",2018-10-07,35,37,2018,15.4,7511.0
118,2:05:12,Stanley Kipleting BIWOTT,1986-04-21,KEN,1,Paris (FRA),2012-04-15,25,34,2012,7.5,7512.0
119,2:05:12,Felix CHEMONGES,1995-10-10,UGA,3,Toronto (CAN),2019-10-20,24,25,2019,11.2,7512.0
120,2:05:13,Vincent KIPRUTO,1987-09-13,KEN,3,Rotterdam (NED),2010-04-11,22,33,2010,6.8,7513.0
121,2:05:13,Markos GENETI,1984-06-07,ETH,2,Dubai (UAE),2014-01-24,29,36,2014,19.4,7513.0
122,2:05:13,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2016-03-20,27,32,2016,9.4,7513.0
123,2:05:13,Nobert KIGEN,1993-01-24,KEN,2,Amsterdam (NED),2017-10-15,24,27,2017,16.1,7513.0
124,2:05:13,Benson KIPRUTO,1991-03-17,KEN,4,Toronto (CAN),2019-10-20,28,29,2019,11.2,7513.0
125,2:05:15,Martin Kiptolo LEL,1978-10-29,KEN,1,London (GBR),2008-04-13,29,42,2008,8.9,7515.0
126,2:05:15,Sammy KITWARA,1986-11-26,KEN,1,Valencia (ESP),2017-11-19,30,34,2017,12.8,7515.0
127,2:05:15,Abebe Negewo DEGEFA,1984-05-20,ETH,8,Valencia (ESP),2020-12-06,36,36,2020,10.6,7515.0
128,2:05:16,Levi Omari MATEBO,1989-11-03,KEN,2,Frankfurt (GER),2011-10-30,21,31,2011,11.9,7516.0
129,2:05:16,Sammy KITWARA,1986-11-26,KEN,3,"Chicago, IL (USA)",2013-10-13,26,34,2013,14.1,7516.0
130,2:05:16,Sisay LEMMA,1990-12-12,ETH,4,Dubai (UAE),2016-01-22,25,30,2016,20.6,7516.0
131,2:05:16,Soloman DEKSISA,1994-03-11,ETH,2,Amsterdam (NED),2019-10-20,25,26,2019,11.2,7516.0
132,2:05:18,Tsegaye KEBEDE,1987-01-15,ETH,1,Fukuoka (JPN),2009-12-06,22,33,2009,8.6,7518.0
133,2:05:18,Shifera TAMRU,1998-10-01,ETH,5,Dubai (UAE),2019-01-25,20,22,2019,21.9,7518.0
134,2:05:18,Reuben Kiprop KIPYEGO,1996-08-21,KEN,2,Buenos Aires (ARG),2019-09-22,23,24,2019,13.6,7518.0
135,2:05:18,Elisha ROTICH,1990-04-12,KEN,3,Amsterdam (NED),2019-10-20,29,30,2019,11.2,7518.0
136,2:05:19,Tsegaye KEBEDE,1987-01-15,ETH,1,London (GBR),2010-04-25,23,33,2010,14.0,7519.0
137,2:05:20,Tsegaye KEBEDE,1987-01-15,ETH,2,London (GBR),2009-04-26,22,33,2009,13.8,7520.0
138,2:05:21,Eliud KIPTANUI,1989-06-06,KEN,2,Berlin (GER),2015-09-27,26,31,2015,10.5,7521.0
139,2:05:21,Daniel KINYUA,1992-05-25,KEN,1,Amsterdam (NED),2016-10-16,24,28,2016,13.4,7521.0
140,2:05:21,Emmanuel SAINA,1992-09-06,KEN,1,Buenos Aires (ARG),2018-09-23,26,28,2018,20.2,7521.0
141,2:05:21,Tsegaye KEBEDE,1987-01-15,ETH,4,Valencia (ESP),2018-12-02,31,33,2018,13.5,7521.0
142,2:05:22,Nobert KIGEN,1993-01-24,KEN,5,Valencia (ESP),2018-12-02,25,27,2018,13.5,7522.0
143,2:05:23,Feyisa LILESA,1990-02-01,ETH,4,Rotterdam (NED),2010-04-11,20,30,2010,6.8,7523.0
144,2:05:24,Samuel Kamau WANJIRU,1986-11-10,KEN,2,London (GBR),2008-04-13,21,34,2008,8.9,7524.0
145,2:05:24,Mosinet GEREMEW,1992-02-12,ETH,2,"Chicago, IL (USA)",2018-10-07,26,28,2018,15.4,7524.0
146,2:05:25,Bazu WORKU HAYLA,1990-09-15,ETH,3,Berlin (GER),2010-09-26,20,30,2010,11.2,7525.0
147,2:05:25,Albert Kiplagat MATEBOR,1980-12-25,KEN,3,Frankfurt (GER),2011-10-30,30,39,2011,11.9,7525.0
148,2:05:26,Abraham KIPTUM,1989-09-15,KEN,3,Amsterdam (NED),2017-10-15,28,31,2017,16.1,7526.0
149,2:05:26,El Mahjoub DAZZA,1991-03-03,MAR,6,Valencia (ESP),2018-12-02,27,29,2018,13.5,7526.0
150,2:05:27,Jaouad GHARIB,1972-05-22,MAR,3,London (GBR),2009-04-26,36,48,2009,13.8,7527.0
151,2:05:27,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Rotterdam (NED),2011-04-10,25,35,2011,10.9,7527.0
152,2:05:27,Tilahun REGASSA,1990-01-18,ETH,3,"Chicago, IL (USA)",2012-10-07,22,30,2012,7.2,7527.0
153,2:05:27,Kaan Kigen ÖZBILEN,1986-01-15,TUR,2,Rotterdam (NED),2019-04-07,33,34,2019,13.3,7527.0
154,2:05:28,Hayle LEMI,1994-09-13,ETH,1,Dubai (UAE),2015-01-23,20,26,2015,18.8,7528.0
155,2:05:28,Betesfa GETAHUN,1998-09-25,ETH,4,Amsterdam (NED),2019-10-20,21,22,2019,11.2,7528.0
156,2:05:29,Haile GEBRSELASSIE,1973-04-18,ETH,1f1,Dubai (UAE),2009-01-16,35,47,2009,16.9,7529.0
157,2:05:29,Shifera TAMRU,1998-10-01,ETH,1,Seoul (KOR),2019-11-03,21,22,2019,14.7,7529.0
158,2:05:29,Suguru OSAKO,1991-05-23,JPN,4,Tokyo (JPN),2020-03-01,28,29,2020,11.8,7529.0
159,2:05:29,Leul GEBRESILASE,1992-09-20,ETH,9,Valencia (ESP),2020-12-06,28,28,2020,10.6,7529.0
160,2:05:30,Abderrahim GOUMRI,1976-05-21,MAR,3,London (GBR),2008-04-13,31,44,2008,8.9,7530.0
161,2:05:30,Eliud KIPCHOGE,1984-11-05,KEN,1,Hamburg (GER),2013-04-21,28,36,2013,9.1,7530.0
162,2:05:30,Evans CHEBET,1988-11-10,KEN,2,Valencia (ESP),2017-11-19,29,32,2017,12.8,7530.0
163,2:05:30,Dickson CHUMBA,1986-10-27,KEN,1,Tokyo (JPN),2018-02-25,31,34,2018,5.7,7530.0
164,2:05:31,Evans CHEBET,1988-11-10,KEN,3,Berlin (GER),2016-09-25,27,32,2016,15.9,7531.0
165,2:05:33,Vincent KIPRUTO,1987-09-13,KEN,2,Rotterdam (NED),2011-04-10,23,33,2011,10.9,7533.0
166,2:05:33,Evans CHEBET,1988-11-10,KEN,2,Seoul (KOR),2016-03-20,27,32,2016,9.4,7533.0
167,2:05:33,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,1,Daegu (KOR),2019-04-07,30,32,2019,13.7,7533.0
168,2:05:36,James Kipsang KWAMBAI,1983-02-28,KEN,2,Berlin (GER),2008-09-28,25,37,2008,,7536.0
169,2:05:36,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Amsterdam (NED),2013-10-20,28,35,2013,14.5,7536.0
170,2:05:37,Moses MOSOP,1985-07-07,KEN,1,"Chicago, IL (USA)",2011-10-09,26,35,2011,20.1,7537.0
171,2:05:37,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2012-03-18,23,32,2012,7.6,7537.0
172,2:05:37,Philemon RONO,1991-02-08,KEN,10,Valencia (ESP),2020-12-06,29,29,2020,10.6,7537.0
173,2:05:38,Khalid KHANNOUCHI,1971-12-22,USA,1,London (GBR),2002-04-14,30,48,2002,8.0,7538.0
174,2:05:38,Peter Kimeli SOME,1990-06-05,KEN,1,Paris (FRA),2013-04-07,22,30,2013,6.5,7538.0
175,2:05:38,Tilahun REGASSA,1990-01-18,ETH,1,Rotterdam (NED),2013-04-14,23,30,2013,15.7,7538.0
176,2:05:39,Eliud KIPTANUI,1989-06-06,KEN,1,Praha (CZE),2010-05-09,20,31,2010,12.5,7539.0
177,2:05:39,Mule WASIHUN,1993-10-20,ETH,4,Amsterdam (NED),2017-10-15,23,27,2017,16.1,7539.0
178,2:05:39,Mo FARAH,1983-03-23,GBR,5,London (GBR),2019-04-28,36,37,2019,10.8,7539.0
179,2:05:41,Samuel Kamau WANJIRU,1986-11-10,KEN,1,"Chicago, IL (USA)",2009-10-11,22,34,2009,2.9,7541.0
180,2:05:41,Dadi Yami GEMEDA,1982-01-01,ETH,6,Dubai (UAE),2012-01-27,30,38,2012,17.7,7541.0
181,2:05:41,Wilson Kwambai CHEBET,1985-07-12,KEN,1,Amsterdam (NED),2012-10-21,27,35,2012,12.4,7541.0
182,2:05:41,Getu FELEKE,1986-11-28,ETH,1,Wien (AUT),2014-04-13,27,34,2014,10.5,7541.0
183,2:05:41,Shura KITATA,1996-06-09,ETH,1,London (GBR),2020-10-04,24,24,2020,10.2,7541.0
184,2:05:42,Khalid KHANNOUCHI,1971-12-22,MAR,1,"Chicago, IL (USA)",1999-10-24,27,48,1999,6.0,7542.0
185,2:05:42,Shami Abdullah DAWIT,1984-07-16,ETH,7,Dubai (UAE),2012-01-27,27,36,2012,17.7,7542.0
186,2:05:42,Deressa CHIMSA,1976-11-21,ETH,8,Dubai (UAE),2012-01-27,35,44,2012,17.7,7542.0
187,2:05:42,Dickson CHUMBA,1986-10-27,KEN,1,Tokyo (JPN),2014-02-23,27,34,2014,5.5,7542.0
188,2:05:42,Emmanuel SAINA,1992-09-06,KEN,3,Rotterdam (NED),2019-04-07,26,28,2019,13.3,7542.0
189,2:05:42,Vincent KIPCHUMBA,1990-08-03,KEN,2,London (GBR),2020-10-04,30,30,2020,10.2,7542.0
190,2:05:43,Amos KIPRUTO,1992-09-16,KEN,5,Amsterdam (NED),2017-10-15,25,28,2017,16.1,7543.0
191,2:05:44,Getu FELEKE,1986-11-28,ETH,1,Amsterdam (NED),2010-10-17,23,34,2010,5.9,7544.0
192,2:05:44,Mule WASIHUN,1993-10-20,ETH,5,Dubai (UAE),2016-01-22,22,27,2016,20.6,7544.0
193,2:05:44,Kenneth Kiprop KIPKEMOI,1984-08-02,KEN,1,Rotterdam (NED),2018-04-08,33,36,2018,13.7,7544.0
194,2:05:45,Martin Kiptolo LEL,1978-10-29,KEN,2,London (GBR),2011-04-17,32,42,2011,14.0,7545.0
195,2:05:45,Patrick Makau MUSYOKI,1985-03-02,KEN,3,London (GBR),2011-04-17,26,35,2011,14.0,7545.0
196,2:05:45,Sammy KITWARA,1986-11-26,KEN,2,Amsterdam (NED),2016-10-16,29,34,2016,13.4,7545.0
197,2:05:45,Lawrence CHERONO,1988-08-07,KEN,1,"Chicago, IL (USA)",2019-10-13,31,32,2019,8.8,7545.0
198,2:05:45,Sisay LEMMA,1990-12-12,ETH,3,London (GBR),2020-10-04,29,30,2020,10.2,7545.0
199,2:05:46,Dickson CHUMBA,1986-10-27,KEN,1,Eindhoven (NED),2012-10-14,25,34,2012,7.6,7546.0
200,2:05:46,Dejene DEBELA,1995-01-09,ETH,2,"Chicago, IL (USA)",2019-10-13,24,25,2019,8.8,7546.0
201,2:05:47,Vincent KIPRUTO,1987-09-13,KEN,1,Paris (FRA),2009-04-05,21,33,2009,12.5,7547.0
202,2:05:47,Marius KIMUTAI,1992-12-10,KEN,3,Amsterdam (NED),2016-10-16,23,28,2016,13.4,7547.0
203,2:05:48,Paul TERGAT,1969-06-17,KEN,2,London (GBR),2002-04-14,32,51,2002,8.0,7548.0
204,2:05:48,Jafred Chirchir KIPCHUMBA,1983-08-08,KEN,1,Eindhoven (NED),2011-10-09,28,37,2011,10.3,7548.0
205,2:05:48,Daniel KINYUA,1992-05-25,KEN,1,London (GBR),2017-04-23,24,28,2017,11.7,7548.0
206,2:05:48,Sondre Nordstad MOEN,1991-01-12,NOR,1,Fukuoka (JPN),2017-12-03,26,29,2017,9.8,7548.0
207,2:05:48,Asefa MENGSTU,1988-01-22,ETH,3,"Chicago, IL (USA)",2019-10-13,31,32,2019,8.8,7548.0
208,2:05:49,William KIPSANG,1977-06-26,KEN,1,Rotterdam (NED),2008-04-13,30,43,2008,8.2,7549.0
209,2:05:49,Girmay Birhanu GEBRU,1987-01-27,ETH,3,Dubai (UAE),2014-01-24,26,33,2014,19.4,7549.0
210,2:05:49,Mark KORIR,1985-01-10,KEN,1,Paris (FRA),2015-04-12,30,35,2015,11.8,7549.0
211,2:05:50,Evans RUTTO,1978-04-08,KEN,1,"Chicago, IL (USA)",2003-10-12,25,42,2003,14.7,7550.0
212,2:05:50,James Kipsang KWAMBAI,1983-02-28,KEN,1,Seoul (KOR),2012-11-04,29,37,2012,11.3,7550.0
213,2:05:50,Dennis KIMETTO,1984-04-22,KEN,3,London (GBR),2015-04-26,31,36,2015,9.8,7550.0
